Rank,Company,Type,Cyprus,Founder,Ver,Why,LinkedIn_URL,Intro
11,Social Discovery Ventures,VC,нет,"Alexey Plesakov, Alexander Lis",9,маленькая команда / ранняя стадия; VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Alexey%20Plesakov%20Social%20Discovery,"Алексей, добрый день! SDV и глобальные сделки — то, куда хочу приложить опыт: свой стартап, студия, 15+ продуктов. Готова к скаутингу и работе с портфелем. 15 мин интро?"
12,Recraft,Стартап,нет,Anna Dorogush,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Anna%20Dorogush%20Recraft,"Анна, привет! Recraft и глобальный продукт — восхищаюсь. У меня PM/BD, partnerships, опыт ex-Яндекс окружения. Хочу обсудить, чем могу помочь. 15 мин?"
13,Evidently AI,Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Evidently%20AI%20founder,"Добрый день! ML monitoring и open source — релевантно моему бэкграунду в продукте и BD. Запускала стартапы, студию. Ищу роль PM/BD. Короткое интро?"
14,Praktika.ai,Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Praktika.ai%20founder,"Привет! Языки и AI, глобальный старт — близко. Опыт PM, growth, студия 15+ продуктов. Буду рада 15 мин, рассказать, чем могу быть полезна."
15,PAYZE (YC S21),Стартап,нет,Gega Tsurtsumia,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Gega%20Tsurtsumia%20PAYZE,"Гега, добрый день! Stripe для региона и глобал — мой профиль: BD, партнёрства, fintech-контекст. Ищу роль в PAYZE. Короткий звонок?"
16,LiteLLM / BerriAI (YC),Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=BerriAI%20LiteLLM%20founder,Добрый день! LLM gateway и dev tool — релевантно. Ищу PM/BD или developer relations. Опыт студии и продукта. 15 мин?
17,Finta (YC),Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Finta%20founder,Добрый день! Fintech для стартапов — в тему моего fundraising опыта. Ищу BD/PM. Короткое интро?
18,Cactus (YC),Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Cactus%20YC%20founder,"Привет! Ранняя стадия YC — хочу писать напрямую. Опыт фаундера, студия. 15 мин?"
19,Dataland (YC),Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Dataland%20YC%20founder,"Добрый день! Data/infra, 2 в команде — готов помочь PM/BD. Студия 15+ продуктов. Короткий звонок?"
20,Relari (YC),Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Relari%20YC%20founder,"Привет! B2B, маленькая команда — мой профиль: продукт, BD. Буду рада 15 мин интро."
21,Nucleo (YC),Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Nucleo%20YC%20founder,"Добрый день! 2 в команде — готов помочь. B2B, продукт. 15 мин?"
22,Martin (YC),Стартап,нет,Founder,9,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Martin%20YC%20founder,Привет! Ранняя стадия — опыт фаундера и студии. Короткий звонок?
23,GEM Capital,VC,да,Founder,8,Кипр → релокация; VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=GEM%20Capital%20Cyprus,"Добрый день! Инвестиции на Кипре — хочу в такую команду. BD, портфель, скаутинг. 15 мин?"
24,AAlchemy Ventures,VC,да,Founder,8,Кипр → релокация; VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=AAlchemy%20Ventures%20founder,"Добрый день! Angels, акселератор — Кипр. Хочу в экосистему. Короткий звонок?"
25,Adsterra,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Adsterra%20founder,"Добрый день! AdTech и Кипр — совпадает с моими целями. Опыт в продукте, growth, студия. Ищу роль PM/BD. 15 мин?"
26,AdTech Holding,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=AdTech%20Holding%20founder%20Cyprus,"Привет! AdTech/MarTech на Кипре — то, куда хочу. Есть опыт запуска продуктов и BD. Короткое интро, чтобы рассказать, чем полезна?"
27,Aitarget,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Aitarget%20founder,"Добрый день! Paid social и ecommerce — релевантно моему опыту (growth, студия, бренды). Хочу обсудить возможность в Aitarget. 15 мин?"
28,Belka Games,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Belka%20Games%20founder,Привет! Data-driven games и рост — у меня похожий подход в продукте. Ищу роль PM/BD в гейминге на Кипре. Короткий звонок?
29,BrainRocket,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=BrainRocket%20HR%20Cyprus,"Добрый день! IT и Кипр — хочу в такую команду. Опыт продукта, студия 15+ проектов. Буду рада 15 мин интро."
30,Finery Markets,Стартап,да,"Petr Lyazin, Ilia Drozdov",8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Finery%20Markets%20founder,"Пётр/Илья, привет! Finery eFX и digital assets — интересно. BD и партнёрства — мой профиль. 15 мин, чтобы рассказать, чем могу помочь?"
31,Cedar Games,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Cedar%20Games%20founder,Привет! Гейминг на Кипре — хочу в такую команду. Опыт продукта и growth. Короткий звонок?
32,Colossi Games,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Colossi%20Games%20founder,"Добрый день! Mobile gaming, Кипр — BD/PM. Студия 15+ продуктов. 15 мин?"
33,Brickworks Games,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Brickworks%20Games%20founder,Привет! Независимый геймдев — релевантно. Буду рада 15 мин интро.
34,Bridgeapp.ai,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Bridgeapp.ai%20founder,Привет! Digital workspace — PM/BD. Кипр. Короткий звонок?
35,Crowdbase,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Crowdbase%20founder%20Cyprus,"Привет! Краудфандинг, Кипр — опыт fundraising. Короткое интро?"
36,Binaro,Стартап,да,Founder,8,"Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Binaro%20founder%20Nicosia,"Добрый день! Design & dev, Никосия — BD/PM. Буду рада 15 мин."
37,Runa Capital,VC,нет,"Dmitry Chikhachev, Ilya Zubarev",8,VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Dmitry%20Chikhachev%20Runa,"Дмитрий/Илья, добрый день! Deep tech и fintech Runa — то, где могу быть полезна: PM/BD, опыт fundraising и студии. Буду рада 15 мин, чтобы рассказать, чем могу помочь фонду."
38,Almaz Capital,VC,нет,Founder,8,VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Almaz%20Capital%20founder,"Добрый день! Early-stage и enterprise — мой профиль: продукт, BD, работа со стартапами. Запускала свой стартап и студию. Хочу в VC. Короткое интро?"
39,Digital Horizon,VC,нет,Founder,8,VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Digital%20Horizon%20VC%20founder,"Привет! Growth и международная экспансия — то, чем занималась в своих проектах. Ищу роль в VC: BD, analyst, работа с портфелем. 15 мин?"
40,Keen Venture Partners,VC,нет,Founder,8,VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Keen%20Venture%20Partners%20founder,"Добрый день! B2B SaaS и Europe — совпадает с моим опытом (продукт, BD, студия). Хочу перейти в венчур, помочь со скаутингом. Буду рада короткому звонку."
41,1991 Ventures,VC,нет,Denis & Viktor Gursky,8,VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=1991%20Ventures%20Gursky,"Денис/Виктор, привет! Ukraine & CEE — близко. Опыт fundraising и студии. Хочу в VC или портфель. Короткое интро?"
42,Semi,Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Semi%20AI%20data%20founder,"Привет! Аннотация данных и ML — совпадает с моим продуктовым бэкграундом. BD, PM. Короткое интро?"
43,N8n,Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=n8n%20founder,"Добрый день! Low-code automation и open source — хочу помочь с PM, dev rel или partnerships. Опыт студии и глобальных продуктов. 15 мин?"
44,Petcube,Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Petcube%20founder,"Привет! US/EU и продукт для питомцев — релевантно PM/growth. Запускала стартапы, студию. Буду рада короткому звонку."
45,Koto,Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Koto%20fintech%20founder,"Привет! Банкинг для экспатов — BD и growth мой профиль. Студия, стартапы. Короткий звонок?"
46,Double,Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Double%20executive%20assistant%20founder,"Добрый день! EA и удалёнка — у меня опыт exec assistant и PM. Хочу обсудить, чем могу быть полезна Double. 15 мин?"
47,Keenious,Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Keenious%20founder,Привет! AI для исследований — PM/growth релевантны. Опыт продукта и студии. Буду рада 15 мин.
48,Greywing (YC),Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Greywing%20founder,Добрый день! Maritime/logistics — BD и partnerships релевантны. Опыт студии. 15 мин?
49,Pangea.app (YC),Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Pangea.app%20founder,Привет! Рекрутинг/HR — пересечение с моим опытом операционки. Ищу роль в команде. Короткий звонок?
50,Resistant AI,Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Resistant%20AI%20founder,"Добрый день! Fraud detection, B2B — PM/BD мой профиль. Прага и глобал. 15 мин интро?"
51,Jiffy,Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Jiffy%20founder,"Добрый день! Доставка/сервисы — BD и operations. Студия, стартапы. 15 мин?"
52,Infer (YC),Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Infer%20YC%20founder,Добрый день! 3 в команде — PM/BD. Буду рада 15 мин интро.
53,Poly (YC),Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Poly%20YC%20founder,"Привет! Маленькая команда — продукт, BD. 15 мин?"
54,Emerge Career (YC),Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Emerge%20Career%20founder,Добрый день! Карьера/рекрутинг — PM/growth. Короткий звонок?
55,Liva AI (YC),Стартап,нет,Founder,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Liva%20AI%20founder,Привет! AI-продукт — PM/BD. Опыт студии. 15 мин интро?
56,Leaping AI (YC),Стартап,нет,Arkady Telegin,8,"продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Leaping%20AI%20Arkady%20Telegin,"Аркадий, привет! AI voice для колл-центров — B2B глобально. Опыт продукта и BD. 15 мин?"
57,Centro (Ortnec),Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Ortnec%20Centro%20founder,"Добрый день! Product dev, Кипр/USA — опыт студии и продуктов. 15 мин?"
58,Covve,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Covve%20founder%20Cyprus,Добрый день! CRM и отношения — релевантно BD. Буду рада 15 мин.
59,Aleph Group,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Aleph%20Group%20founder,Привет! Digital в 130+ странах — релевантно моему глобальному опыту. BD/PM. Короткий звонок?
60,Allformance,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Allformance%20founder%20Cyprus,Добрый день! TikTok/Google партнёр — growth и аналитика. 15 мин интро?
61,Advent Digital,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Advent%20Digital%20founder%20Cyprus,"Привет! Product dev, Кипр — опыт студии. Короткое интро?"
62,Chainblox,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Chainblox%20founder%20Cyprus,"Привет! Blockchain, Кипр — релевантно. Короткий звонок?"
63,Converly,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Converly%20founder%20Cyprus,"Добрый день! Digital agency — web, app, growth. 15 мин?"
64,payabl.,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=payabl%20HR%20Cyprus,"Привет! Payments, Кипр — BD/partnerships. Опыт финтех-контекста. 15 мин интро?"
65,SOFTSWISS,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=SOFTSWISS%20founder%20Cyprus,Добрый день! iGaming/software — глобал. BD/PM. Короткий звонок?
66,CECG,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=CECG%20Cyprus%20founder,"Добрый день! Platform engineering, Кипр — консалтинг. 15 мин интро?"
67,Capacitor Partners,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Capacitor%20Partners%20founder,"Привет! Product management, Кипр — релевантно. Короткое интро?"
68,CallCTO,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=CallCTO%20founder,"Добрый день! IT консалтинг — продукт, трансформация. 15 мин?"
69,Co Valere,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Co%20Valere%20founder,"Добрый день! EA, automation, AI — консалтинг. 15 мин?"
70,ADSKILL,Стартап,да,Founder,7,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=ADSKILL%20founder,"Привет! Ad campaigns, медиабаинг — рост. Короткое интро?"
71,Flashpoint,VC,нет,Founder,7,VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Flashpoint%20VC%20founder,Привет! CEE и venture growth — интересно. Есть опыт fundraising и работы с фаундерами в студии. Ищу возможность в VC или в портфеле. 15 мин интро?
72,Readdle,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Readdle%20founder,"Добрый день! Spark, PDF Expert — глобальный продукт. Ищу роль PM/BD. Опыт продуктивности и студии. 15 мин интро?"
73,Rossum,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Rossum%20founder,Привет! Document AI — релевантно продукту и BD. Буду рада короткому звонку.
74,Kodisoft,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Kodisoft%20founder,"Добрый день! B2B и международно — BD, PM. Опыт студии. 15 мин?"
75,Ajax Systems,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Ajax%20Systems%20founder,Привет! Smart home и глобальные продажи — BD/PM. Короткое интро?
76,Solid,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Solid%20fintech%20founder,Привет! Fintech/payments — мой контекст. Ищу роль BD/PM. Короткий звонок?
77,Mews,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Mews%20founder,"Добрый день! Hotel tech, EU — релевантно BD и продукту. Буду рада 15 мин."
78,People.ai,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=People.ai%20founder,Привет! Revenue intelligence — B2B и мой профиль. Короткое интро?
79,Vivid Money,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Vivid%20Money%20founder,"Добрый день! Neobank, EU — русскоязычные в команде. PM/BD. 15 мин?"
80,Orbital (fintech),Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Orbital%20fintech%20founder,Добрый день! Infra/fintech — BD. Буду рада короткому звонку.
81,Qrator Labs,Стартап,нет,Founder,7,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Qrator%20Labs%20founder,"Привет! DDoS, security — B2B глобально. BD. 15 мин?"
82,Exness,Стартап,да,Founder/HR,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Exness%20HR%20Cyprus,"Привет! Финтех, Лимассол — хочу в команду. Опыт BD, продукт. 15 мин?"
83,Nexters,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Nexters%20founder,"Добрый день! Hero Wars, Кипр — PM/growth. Буду рада короткому звонку."
84,Capital.com,Стартап,да,HR,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Capital.com%20HR%20Limassol,"Привет! Fintech, релокация — релевантно. BD/PM. 15 мин интро?"
85,Easybrain,Стартап,да,HR,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Easybrain%20HR%20Limassol,"Добрый день! Гейминг, Лимассол — продукт, growth. Короткий звонок?"
86,CDMA Services,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=CDMA%20Cyprus%20founder,"Привет! Cybersecurity, cloud — Кипр. Буду рада короткому звонку."
87,Curis Healthcare,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Curis%20Healthcare%20founder,Привет! HealthTech — BD/PM. Короткий звонок?
88,Cyber Leo,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Cyber%20Leo%20founder,"Добрый день! AI, fintech, security — релевантно. 15 мин интро?"
89,Cocoon Creations,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Cocoon%20Creations%20founder,"Добрый день! Mobile apps, Кипр — продукт. 15 мин?"
90,Cloudlayer8 (CL8),Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Cloudlayer8%20founder,"Привет! Data center, cloud — Кипр. Буду рада 15 мин."
91,Channel-IT,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Channel-IT%20Cyprus,Добрый день! IT дистрибуция — BD. Короткий звонок?
92,Chrysalis LEAP,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Chrysalis%20LEAP%20founder,Привет! Cleantech — партнёр EIT Climate-KIC. 15 мин интро?
93,Sigma Software,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Sigma%20Software%20Cyprus,"Добрый день! Software, Кипр — продукт/BD. Буду рада 15 мин."
94,Innovecs,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Innovecs%20Cyprus,"Привет! Аутсорс, Кипр — PM. Короткое интро?"
95,DataArt,Стартап,да,Founder,6,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=DataArt%20Cyprus,"Добрый день! Софт, глобал — BD/PM. 15 мин?"
96,GitLab,Стартап,нет,Sid Sijbrandij,6,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Sid%20Sijbrandij%20GitLab,"Сид, привет! Remote-first и русскоязычные — смотрю конкретные команды. PM/BD. Короткое интро?"
97,JetBrains,Стартап,нет,Sergey Dmitriev,6,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Sergey%20Dmitriev%20JetBrains,"Сергей, добрый день! IDE и dev tools — PM/marketing в продуктах. 15 мин?"
98,Wargaming,Стартап,да,HR,5,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Wargaming%20HR%20Limassol,"Привет! World of Tanks — большая команда, но BD/PM роли есть. 15 мин?"
99,Bolt,Стартап,да,Founder/HR,5,Кипр → релокация,https://www.linkedin.com/search/results/people/?keywords=Bolt%20HR%20Cyprus,"Добрый день! Суперапп, Кипр — рост. Буду рада 15 мин."
100,Grammarly,Стартап,нет,Founder,5,русскоязычный контекст,https://www.linkedin.com/search/results/people/?keywords=Grammarly%20founder,Привет! Партнёрства и смежные команды — мой профиль. Короткий звонок?
