#,Company,Sector,LinkedIn_Founder_or_HR
44,CECG,Platform Engineering,https://www.linkedin.com/search/results/people/?keywords=CECG%20Cyprus%20founder
45,Cloudlayer8 (CL8),Data center / Cloud,https://www.linkedin.com/search/results/people/?keywords=Cloudlayer8%20CL8%20founder
46,Cocoon Creations,Digital agency,https://www.linkedin.com/search/results/people/?keywords=Cocoon%20Creations%20founder
47,Converly,Digital agency,https://www.linkedin.com/search/results/people/?keywords=Converly%20founder%20Cyprus
48,Crowdbase,Crowdfunding,https://www.linkedin.com/search/results/people/?keywords=Crowdbase%20founder%20Cyprus
49,Curis Healthcare,HealthTech,https://www.linkedin.com/search/results/people/?keywords=Curis%20Healthcare%20founder
50,Cyber Leo,Tech / AI,https://www.linkedin.com/search/results/people/?keywords=Cyber%20Leo%20founder
51,Advent Digital,Consulting / Product,https://www.linkedin.com/search/results/people/?keywords=Advent%20Digital%20founder%20Cyprus
52,ADSKILL,AdTech / Media buying,https://www.linkedin.com/search/results/people/?keywords=ADSKILL%20founder
53,Allformance,Marketing / Analytics,https://www.linkedin.com/search/results/people/?keywords=Allformance%20founder%20Cyprus
54,Capacitor Partners,Product / Consulting,https://www.linkedin.com/search/results/people/?keywords=Capacitor%20Partners%20founder
55,Co Valere,Consulting / AI,https://www.linkedin.com/search/results/people/?keywords=Co%20Valere%20Covalere%20founder
56,CPM,Corporate services,https://www.linkedin.com/search/results/people/?keywords=CPM%20Cyprus%20HR
57,CDMA Services,IT / Cybersecurity,https://www.linkedin.com/search/results/people/?keywords=CDMA%20Cyprus%20founder
58,Qrator Labs,Cybersecurity,https://www.linkedin.com/search/results/people/?keywords=Qrator%20Labs%20HR
59,Chainblox,Blockchain,https://www.linkedin.com/search/results/people/?keywords=Chainblox%20founder%20Cyprus
60,Chrysalis LEAP,Cleantech,https://www.linkedin.com/search/results/people/?keywords=Chrysalis%20LEAP%20founder
61,Channel-IT,IT / Distribution,https://www.linkedin.com/search/results/people/?keywords=Channel-IT%20Cyprus%20HR
62,AAlchemy Ventures,VC / Angels,https://www.linkedin.com/search/results/people/?keywords=AAlchemy%20Ventures%20founder
63,Playnetic,iGaming,https://www.linkedin.com/search/results/people/?keywords=Playnetic%20HR%20Cyprus
64,Zubr Capital,VC,https://www.linkedin.com/search/results/people/?keywords=Zubr%20Capital%20founder
65,GEM Capital,VC / Investment,https://www.linkedin.com/search/results/people/?keywords=GEM%20Capital%20Cyprus
66,Sigma Software Group,Software,https://www.linkedin.com/search/results/people/?keywords=Sigma%20Software%20Cyprus%20HR
67,Genesis,Gaming / iGaming,https://www.linkedin.com/search/results/people/?keywords=Genesis%20Gaming%20HR%20Cyprus
68,PSPDFKit,Software / SDK,https://www.linkedin.com/search/results/people/?keywords=PSPDFKit%20HR%20Cyprus
69,Spotware,Fintech / cTrader,https://www.linkedin.com/search/results/people/?keywords=Spotware%20founder%20Cyprus
70,Tickmill,Fintech / Forex,https://www.linkedin.com/search/results/people/?keywords=Tickmill%20HR%20Cyprus
71,XM,Fintech / Forex,https://www.linkedin.com/search/results/people/?keywords=XM%20HR%20Cyprus
72,RoboMarkets,Fintech,https://www.linkedin.com/search/results/people/?keywords=RoboMarkets%20HR%20Cyprus
73,Libertex,Fintech,https://www.linkedin.com/search/results/people/?keywords=Libertex%20HR%20Cyprus
74,Pepperstone,Fintech (AU/CY),https://www.linkedin.com/search/results/people/?keywords=Pepperstone%20Cyprus%20HR
75,IC Markets,Fintech,https://www.linkedin.com/search/results/people/?keywords=IC%20Markets%20Cyprus
76,ATFX,Fintech,https://www.linkedin.com/search/results/people/?keywords=ATFX%20HR%20Cyprus
77,Scope Markets,Fintech,https://www.linkedin.com/search/results/people/?keywords=Scope%20Markets%20founder
78,PU Prime,Fintech,https://www.linkedin.com/search/results/people/?keywords=PU%20Prime%20HR%20Cyprus
79,TeleTrade,Fintech,https://www.linkedin.com/search/results/people/?keywords=TeleTrade%20HR%20Cyprus
80,Just2Trade,Fintech,https://www.linkedin.com/search/results/people/?keywords=Just2Trade%20founder
81,HFM,Fintech / Forex,https://www.linkedin.com/search/results/people/?keywords=HFM%20HR%20Cyprus
82,Octa,Fintech,https://www.linkedin.com/search/results/people/?keywords=Octa%20FX%20HR%20Cyprus
83,AMarkets,Fintech,https://www.linkedin.com/search/results/people/?keywords=AMarkets%20HR%20Cyprus
84,NPBFX,Fintech,https://www.linkedin.com/search/results/people/?keywords=NPBFX%20founder
85,LiteFinance,Fintech,https://www.linkedin.com/search/results/people/?keywords=LiteFinance%20HR%20Cyprus
86,B2Broker,Fintech / B2B,https://www.linkedin.com/search/results/people/?keywords=B2Broker%20founder%20Cyprus
87,Soft-Fx,Fintech / Software,https://www.linkedin.com/search/results/people/?keywords=Soft-Fx%20founder
88,PaymentIQ,Payments,https://www.linkedin.com/search/results/people/?keywords=PaymentIQ%20Cyprus%20founder
89,Unlimint,Fintech / Payments,https://www.linkedin.com/search/results/people/?keywords=Unlimint%20HR%20Cyprus
90,Paysera,Fintech / Payments,https://www.linkedin.com/search/results/people/?keywords=Paysera%20Cyprus%20HR
91,Nuke from Orbit,Gaming,https://www.linkedin.com/search/results/people/?keywords=Nuke%20from%20Orbit%20founder
92,Plarium,Gaming,https://www.linkedin.com/search/results/people/?keywords=Plarium%20HR%20Cyprus
93,Room 8 Group,Gaming,https://www.linkedin.com/search/results/people/?keywords=Room%208%20Group%20HR
94,G5 Entertainment,Gaming,https://www.linkedin.com/search/results/people/?keywords=G5%20Entertainment%20HR
95,Innovecs,Software / Outsourcing,https://www.linkedin.com/search/results/people/?keywords=Innovecs%20Cyprus%20HR
96,DataArt,Software,https://www.linkedin.com/search/results/people/?keywords=DataArt%20Cyprus%20HR
97,Crossover,Remote / Software,https://www.linkedin.com/search/results/people/?keywords=Crossover%20HR
98,Viber (Rakuten),Telecom / Messaging,https://www.linkedin.com/search/results/people/?keywords=Viber%20Rakuten%20HR%20Cyprus
99,BDO Cyprus,Professional services,https://www.linkedin.com/search/results/people/?keywords=BDO%20Cyprus%20HR%20recruitment
100,TechIsland (association),Ecosystem,https://www.linkedin.com/search/results/people/?keywords=TechIsland%20Cyprus
